City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
135,Mokhsogollokh,RU,2020-04-18 18:53:50,61.47,128.92,4.8,92,50,3.51,scattered clouds,0.0,0.0
136,Hamilton,US,2020-04-18 18:50:05,39.18,-84.53,54.0,46,75,8.05,broken clouds,0.0,0.0
137,Abu Dhabi,AE,2020-04-18 18:50:09,24.47,54.37,77.0,69,15,6.93,few clouds,0.0,0.0
138,Annau,TM,2020-04-18 18:53:51,37.89,58.52,62.6,72,40,2.24,scattered clouds,0.0,0.0
139,Severo-Kurilsk,RU,2020-04-18 18:53:51,50.68,156.12,32.68,88,0,9.04,clear sky,0.0,0.0
140,Goma,CD,2020-04-18 18:53:51,-1.68,29.22,65.48,53,100,1.25,moderate rain,6.0,0.0
141,Jamestown,US,2020-04-18 18:50:44,42.1,-79.24,43.0,55,75,12.75,broken clouds,0.0,0.0
142,Rujewa,TZ,2020-04-18 18:53:52,-8.7,34.38,68.54,56,100,6.96,overcast clouds,0.0,0.0
143,Cerrito,CO,2020-04-18 18:53:52,6.84,-72.69,75.2,78,75,6.93,haze,0.0,0.0
144,Lavrentiya,RU,2020-04-18 18:53:52,65.58,-171.0,17.69,96,100,13.2,snow,0.0,1.84
145,Elizabeth City,US,2020-04-18 18:53:52,36.29,-76.25,61.0,72,75,14.99,light rain,0.0,0.0
146,Qeshm,IR,2020-04-18 18:50:14,26.96,56.27,78.8,78,99,6.93,haze,0.0,0.0
147,Jatai,BR,2020-04-18 18:53:53,-17.88,-51.71,75.33,68,95,3.02,light rain,1.67,0.0
148,Nanakuli,US,2020-04-18 18:53:53,21.39,-158.15,71.01,77,40,6.62,scattered clouds,0.0,0.0
149,Yerbogachen,RU,2020-04-18 18:53:53,61.28,108.01,11.3,90,4,5.73,clear sky,0.0,0.0
150,Inhambane,MZ,2020-04-18 18:53:54,-23.86,35.38,75.11,78,9,14.5,clear sky,0.0,0.0
151,Chunoyar,RU,2020-04-18 18:53:54,57.45,97.32,27.14,93,22,5.48,few clouds,0.0,0.0
152,Cayenne,GF,2020-04-18 18:53:54,4.93,-52.33,86.0,70,75,9.17,broken clouds,0.0,0.0
