City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Avarua,CK,2020-04-18 16:50:58,-21.21,-159.78,77.0,78,13,4.7
155,Chake Chake,TZ,2020-04-18 16:51:34,-5.25,39.77,81.12,84,100,17.65
156,Hobyo,SO,2020-04-18 16:52:04,5.35,48.53,85.35,69,41,11.54
157,Shenkursk,RU,2020-04-18 16:55:06,62.11,42.9,30.27,97,71,2.28
158,Lavrentiya,RU,2020-04-18 16:51:14,65.58,-171.0,17.69,96,100,13.2
159,Pevek,RU,2020-04-18 16:51:13,69.7,170.31,-4.92,89,0,7.09
160,Si Racha,TH,2020-04-18 16:55:06,13.17,100.93,88.0,72,82,8.57
161,Klaksvik,FO,2020-04-18 16:51:43,62.23,-6.59,44.6,81,0,17.22
162,Lebu,CL,2020-04-18 16:51:18,-37.62,-73.65,64.29,68,91,6.55
163,Qaqortoq,GL,2020-04-18 16:55:07,60.72,-46.03,32.0,89,40,3.36
164,Butaritari,KI,2020-04-18 16:50:56,3.07,172.79,82.04,78,98,14.43
165,Grand-Lahou,CI,2020-04-18 16:55:07,5.14,-5.02,82.74,85,79,12.84
166,Yanam,IN,2020-04-18 16:55:08,16.73,82.22,81.41,83,26,7.29
167,Bubaque,GW,2020-04-18 16:52:42,11.28,-15.83,77.23,75,100,21.7
168,Erzin,TR,2020-04-18 16:55:08,36.96,36.2,73.4,49,76,11.41
169,Mao,ES,2020-04-18 16:55:08,39.89,4.27,69.8,73,78,9.17
170,Alindao,CF,2020-04-18 16:55:09,5.03,21.21,78.57,69,50,4.21
171,Novopokrovka,UA,2020-04-18 16:55:09,49.84,36.55,44.08,56,13,6.38
172,Teknaf,BD,2020-04-18 16:55:09,20.86,92.31,77.05,84,34,1.97
173,Akyab,MM,2020-04-18 16:55:09,20.15,92.9,77.79,85,1,6.02
174,Sao Filipe,CV,2020-04-18 16:55:10,14.9,-24.5,71.49,73,14,23.38
175,Doha,QA,2020-04-18 16:53:08,25.29,51.53,78.01,73,31,9.17
176,Hovd,MN,2020-04-18 16:55:10,48.01,91.64,36.3,38,53,2.1
177,Faanui,PF,2020-04-18 16:51:17,-16.48,-151.75,82.76,70,60,8.72
178,Maridi,SS,2020-04-18 16:55:10,4.92,29.47,69.35,73,100,6.11
179,Fairhope,US,2020-04-18 16:55:11,30.52,-87.9,81.0,65,75,5.82
